Current Official Name of Satellite;Country/Org of UN Registry;Country of Operator/Owner;Operator/Owner;Users;Purpose
Dove 2k-35;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 2k-39;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 2k-40;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 2k-7;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 2p-3;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 2p-8;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 2p-9;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3k-10;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3k-4;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3k-5;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3k-7;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3k-9;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3m-4;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p-11;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove  3p-12;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p-2;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p'-2;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove  3p-23;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove  3p-24;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p-37;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p'-3;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p-32;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p-33;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p-34;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p-4;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p'-4;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p-46;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p-49;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p-50;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p-54;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p-55;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p-57;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p-58;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p-61;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p-64;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p-65;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p-66;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p-74;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p-76;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3p-80;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3r-1;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3r-11;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3r-12;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3r-4;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3r-7;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3r-7;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3r-9;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 3s-1;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4a-11;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4a-17;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4a-19;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4a-2;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4a-5;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4a-6;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4a-9;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4e'-1;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4e’-2;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4e’-3 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4e’-4 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4e’-5 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4e’-6 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4e'-8;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4e’-8;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4e’-9 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4p-1;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4p-10;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4p-11;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4p-3;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4p-4;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4p-5;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4p-7;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-1 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-10 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-11 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-12 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-13 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-14 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-15 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-16 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-17 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-18 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-19 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-2 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-20 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-21 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-22 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-23 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-24 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-25 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-26 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-27 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-28 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-29 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-3 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
Dove 4s-30 ;USA;USA;Planet Labs, Inc.;Commercial;Earth Observation
